2020/11/04 20:14:06.797 [D] [value.go:475]  ---- 请求到达
2020/11/04 20:14:06.797 [D] [cache.go:10]  ---- get redis starting ----
2020/11/04 20:14:06.798 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/04 20:14:06.798 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/04 20:14:06.798 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/04 20:14:06.799 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/04 20:14:06.949 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/04 20:14:06.950 [D] [value.go:475]  解析完成啦
2020/11/04 20:14:06.950 [D] [user.go:54]  ---- 开始获取数据库连接 ----
2020/11/04 20:14:06.951 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/04 20:14:06.951 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/04 20:14:06.958 [D] [cache.go:10]  ---- get redis starting ----
2020/11/04 20:14:06.959 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/04 20:14:06.959 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/04 20:14:06.960 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/04 20:14:06.960 [D] [cache.go:10]  ---- get redis starting ----
2020/11/04 20:14:06.961 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/04 20:14:06.961 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/04 20:14:06.962 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/04 20:14:07.000 [D] [user.go:75]  --- update user sql:update fd_user set username=?,password=?,head=?,gender=?,remark=?,create_user=?,create_time=?,update_user=?,update_time=?,status=? where id = ?
2020/11/04 20:14:07.003 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   206.5427ms|   match|[43m PUT     [0m /update/user   r:/update/user
2020/11/05 11:03:31.702 [D] [login.go:84]  login username:admin,password:admin
2020/11/05 11:03:31.708 [D] [login.go:89]  ---- user login cache redis key:login_admin_password
2020/11/05 11:03:31.712 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:03:31.716 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:03:31.716 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:03:31.717 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 11:03:31.717 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 11:03:52.725 [D] [cache.go:10]  redis exec get failed,err:dial tcp 192.168.189.128:6379: connectex: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond.
2020/11/05 11:03:52.726 [D] [login.go:30]  ---- 开始获取数据库连接 ----
2020/11/05 11:03:52.726 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 11:03:52.727 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 11:03:52.817 [D] [login.go:66]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 11:03:52.817 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 11:03:52.818 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 11:03:52.818 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:04:13.830 [E] [cache.go:15]  redis set key:login_admin_password failed,err:dial tcp 192.168.189.128:6379: connectex: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond.
2020/11/05 11:04:13.842 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 11:04:13.844 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 11:04:13.845 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:04:34.853 [E] [cache.go:15]  redis set key:login_admin_username failed,err:dial tcp 192.168.189.128:6379: connectex: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond.
2020/11/05 11:04:34.854 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m| 1m3.1527008s|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 11:05:21.515 [D] [login.go:84]  login username:admin,password:admin
2020/11/05 11:05:21.516 [D] [login.go:89]  ---- user login cache redis key:login_admin_password
2020/11/05 11:05:21.517 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:05:21.517 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:05:21.529 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:05:21.679 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 11:05:21.680 [D] [login.go:30]  ---- 开始获取数据库连接 ----
2020/11/05 11:05:21.682 [D] [login.go:66]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 11:05:21.690 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 11:05:21.690 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 11:05:21.691 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:05:21.700 [D] [cache.go:15]  ---- get redis val:21232f297a57a5a743894a0e4a801fc3 ----
2020/11/05 11:05:21.701 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 11:05:21.701 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 11:05:21.701 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:05:21.702 [D] [cache.go:15]  ---- get redis val:admin ----
2020/11/05 11:05:21.702 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   187.4976ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 11:06:41.881 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:06:41.882 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:06:41.883 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:06:41.883 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
